========================================
 WEAVER ENGINE: 8-NODE DEEP HISTORY 
========================================
Enter Node ID (0-7): 
> [SYSTEM] Node 3 bound to :50003. Meshing topology...
[SYSTEM] Topology Locked. Entering FSM loop.
[HEARTBEAT] SimTick: 9431 | NetHead: 9430 | Confirmed: 9292 | Missing: 139 | StateHash: 0xFAA2ECB3
[HEARTBEAT] SimTick: 9491 | NetHead: 9490 | Confirmed: 9351 | Missing: 140 | StateHash: 0x119A712C
[HEARTBEAT] SimTick: 9551 | NetHead: 9550 | Confirmed: 9410 | Missing: 141 | StateHash: 0xB1F1DB1B
[HEARTBEAT] SimTick: 9611 | NetHead: 9610 | Confirmed: 9466 | Missing: 145 | StateHash: 0xEA8B98BC
[HEARTBEAT] SimTick: 9671 | NetHead: 9670 | Confirmed: 9527 | Missing: 144 | StateHash: 0x4E2418C3
[HEARTBEAT] SimTick: 9731 | NetHead: 9730 | Confirmed: 9591 | Missing: 140 | StateHash: 0x3B47AE03
[HEARTBEAT] SimTick: 9791 | NetHead: 9790 | Confirmed: 9651 | Missing: 140 | StateHash: 0x423C45CB
[HEARTBEAT] SimTick: 9851 | NetHead: 9850 | Confirmed: 9709 | Missing: 142 | StateHash: 0x12CFBCBC
[HEARTBEAT] SimTick: 9911 | NetHead: 9910 | Confirmed: 9772 | Missing: 139 | StateHash: 0xD97F8CC3
[HEARTBEAT] SimTick: 9971 | NetHead: 9970 | Confirmed: 9827 | Missing: 144 | StateHash: 0x70AC932C
[HEARTBEAT] SimTick: 10031 | NetHead: 10030 | Confirmed: 9888 | Missing: 143 | StateHash: 0xAADFC4BD
[HEARTBEAT] SimTick: 10091 | NetHead: 10090 | Confirmed: 9958 | Missing: 133 | StateHash: 0xC6A186C8
[HEARTBEAT] SimTick: 10152 | NetHead: 10151 | Confirmed: 10012 | Missing: 140 | StateHash: 0x713AF1FC
[HEARTBEAT] SimTick: 10212 | NetHead: 10211 | Confirmed: 10070 | Missing: 142 | StateHash: 0x965B796C
[HEARTBEAT] SimTick: 10272 | NetHead: 10271 | Confirmed: 10126 | Missing: 146 | StateHash: 0xEA0D20C3
[HEARTBEAT] SimTick: 10332 | NetHead: 10331 | Confirmed: 10186 | Missing: 146 | StateHash: 0x93C9D6DC
[HEARTBEAT] SimTick: 10392 | NetHead: 10391 | Confirmed: 10247 | Missing: 145 | StateHash: 0x6CC35973
[HEARTBEAT] SimTick: 10452 | NetHead: 10451 | Confirmed: 10311 | Missing: 141 | StateHash: 0x8F199CAC
[HEARTBEAT] SimTick: 10512 | NetHead: 10511 | Confirmed: 10374 | Missing: 138 | StateHash: 0xE4E21A48
[HEARTBEAT] SimTick: 10572 | NetHead: 10571 | Confirmed: 10430 | Missing: 142 | StateHash: 0xA3560F5C
[HEARTBEAT] SimTick: 10632 | NetHead: 10631 | Confirmed: 10486 | Missing: 146 | StateHash: 0xC8371DD3
[HEARTBEAT] SimTick: 10692 | NetHead: 10691 | Confirmed: 10550 | Missing: 142 | StateHash: 0x1D5F9FBC
[HEARTBEAT] SimTick: 10752 | NetHead: 10751 | Confirmed: 10609 | Missing: 143 | StateHash: 0x9111CD13
[HEARTBEAT] SimTick: 10812 | NetHead: 10811 | Confirmed: 10673 | Missing: 139 | StateHash: 0xC77A4073
[HEARTBEAT] SimTick: 10872 | NetHead: 10871 | Confirmed: 10728 | Missing: 144 | StateHash: 0x6B5F5AFB
[HEARTBEAT] SimTick: 10932 | NetHead: 10931 | Confirmed: 10790 | Missing: 142 | StateHash: 0xC9892EB3
[HEARTBEAT] SimTick: 10992 | NetHead: 10991 | Confirmed: 10847 | Missing: 145 | StateHash: 0x39E8CF04
[HEARTBEAT] SimTick: 11052 | NetHead: 11051 | Confirmed: 10907 | Missing: 145 | StateHash: 0x3C43BAD0
[HEARTBEAT] SimTick: 11112 | NetHead: 11111 | Confirmed: 10967 | Missing: 145 | StateHash: 0x2C7449AB
[HEARTBEAT] SimTick: 11173 | NetHead: 11172 | Confirmed: 11029 | Missing: 144 | StateHash: 0xEC66992C
[HEARTBEAT] SimTick: 11233 | NetHead: 11232 | Confirmed: 11092 | Missing: 141 | StateHash: 0x35DE32FB
[HEARTBEAT] SimTick: 11293 | NetHead: 11292 | Confirmed: 11155 | Missing: 138 | StateHash: 0xAF49F37C
[HEARTBEAT] SimTick: 11353 | NetHead: 11352 | Confirmed: 11213 | Missing: 140 | StateHash: 0xC501AEDB
[HEARTBEAT] SimTick: 11413 | NetHead: 11412 | Confirmed: 11270 | Missing: 143 | StateHash: 0x67C3B50C
[HEARTBEAT] SimTick: 11473 | NetHead: 11472 | Confirmed: 11332 | Missing: 141 | StateHash: 0x7958E29B
[HEARTBEAT] SimTick: 11533 | NetHead: 11532 | Confirmed: 11393 | Missing: 140 | StateHash: 0x386778AC
[HEARTBEAT] SimTick: 11593 | NetHead: 11592 | Confirmed: 11434 | Missing: 159 | StateHash: 0xC0052E3B
[HEARTBEAT] SimTick: 11653 | NetHead: 11652 | Confirmed: 11511 | Missing: 142 | StateHash: 0xDCB5DBAC
[HEARTBEAT] SimTick: 11713 | NetHead: 11712 | Confirmed: 11569 | Missing: 144 | StateHash: 0x1CE236E3
[HEARTBEAT] SimTick: 11773 | NetHead: 11772 | Confirmed: 11634 | Missing: 139 | StateHash: 0x711D607C
[HEARTBEAT] SimTick: 11833 | NetHead: 11832 | Confirmed: 11693 | Missing: 140 | StateHash: 0x09739370
[HEARTBEAT] SimTick: 11893 | NetHead: 11892 | Confirmed: 11752 | Missing: 141 | StateHash: 0xBED69C0C
[HEARTBEAT] SimTick: 11953 | NetHead: 11952 | Confirmed: 11816 | Missing: 137 | StateHash: 0x32097349
[HEARTBEAT] SimTick: 12013 | NetHead: 12012 | Confirmed: 11871 | Missing: 142 | StateHash: 0x526B0FFC
[HEARTBEAT] SimTick: 12074 | NetHead: 12073 | Confirmed: 11931 | Missing: 143 | StateHash: 0x53F9843C
[HEARTBEAT] SimTick: 12134 | NetHead: 12133 | Confirmed: 11995 | Missing: 139 | StateHash: 0x4D0F304C
[HEARTBEAT] SimTick: 12194 | NetHead: 12193 | Confirmed: 12049 | Missing: 145 | StateHash: 0x5C728C93
[HEARTBEAT] SimTick: 12254 | NetHead: 12253 | Confirmed: 12110 | Missing: 144 | StateHash: 0x01FECF1C
